Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 03, 2019;230.00;233.00;230.00;232.50;232.50;327
Dec 02, 2019;230.00;230.00;227.00;229.00;229.00;1,023,802
Nov 29, 2019;231.00;231.00;228.50;230.50;230.50;1,341,066
Nov 28, 2019;232.00;233.50;230.00;231.50;231.50;1,301,033
Nov 27, 2019;233.00;236.00;232.50;233.00;233.00;1,019,111
Nov 26, 2019;234.50;236.50;232.00;232.00;232.00;5,201,085
Nov 25, 2019;239.50;240.00;235.50;236.00;236.00;1,781,139
Nov 22, 2019;242.00;242.00;238.00;241.00;241.00;1,746,004
Nov 21, 2019;237.00;241.00;236.00;241.00;241.00;1,977,812
Nov 20, 2019;238.00;243.00;237.00;240.00;240.00;2,933,801
Nov 19, 2019;230.00;239.00;229.50;237.50;237.50;3,544,676
Nov 18, 2019;227.50;231.00;226.50;230.00;230.00;2,362,766
Nov 15, 2019;227.50;231.00;225.00;227.50;227.50;4,726,772
Nov 14, 2019;220.00;229.50;219.00;226.50;226.50;7,476,664
Nov 13, 2019;213.50;214.50;212.50;213.50;213.50;1,252,318
Nov 12, 2019;214.50;214.50;212.00;213.50;213.50;1,167,073
Nov 11, 2019;214.00;214.00;210.00;211.00;211.00;1,140,645
Nov 08, 2019;215.50;216.00;213.50;215.00;215.00;1,018,523
Nov 07, 2019;215.00;215.00;214.00;215.00;215.00;1,498,159
Nov 06, 2019;214.00;214.50;212.50;214.00;214.00;989,188
Nov 05, 2019;212.50;213.50;211.50;213.50;213.50;1,182,772
Nov 04, 2019;210.00;212.00;209.50;212.00;212.00;1,315,081
Nov 01, 2019;208.00;210.00;207.50;208.50;208.50;1,403,607
Oct 31, 2019;210.00;210.00;206.50;206.50;206.50;1,722,395
